iter	Accuracy	MultiClass
300	0.7746636308	0.5827620561
301	0.7748277121	0.5821363391
302	0.7752250971	0.5819574777
303	0.7754325095	0.581615739
304	0.7754539558	0.5814143611
305	0.775710258	0.5812909894
306	0.7760208601	0.5809066481
307	0.7762807661	0.580640606
308	0.7761367627	0.5802164714
309	0.7766230505	0.579592067
310	0.777028632	0.5793499671
311	0.7772735401	0.5791042075
312	0.777547085	0.5786468888
313	0.7777034838	0.5779032449
314	0.7781679538	0.5775992359
315	0.7779668152	0.5774174159
316	0.7781327254	0.5772805932
317	0.778007879	0.5771243837
318	0.7779944147	0.576920112
319	0.7782013886	0.5764234934
320	0.778485992	0.5759250275
321	0.7785581569	0.5752833386
322	0.778566367	0.5751846172
323	0.7787563396	0.5746872498
324	0.7789060577	0.5743877029
325	0.7792183813	0.5737296614
326	0.7791417714	0.5733905472
327	0.7792530639	0.5731974235
328	0.7795864808	0.5727098336
329	0.7802139278	0.5720635564
330	0.7804397099	0.5718125083
331	0.7803378753	0.5715388002
332	0.7805677714	0.5713431385
333	0.7806254657	0.5708464354
334	0.7805956885	0.5706738462
335	0.780554307	0.5704913375
336	0.780623288	0.5703846127
337	0.7805666133	0.5703151701
338	0.7805346896	0.5701956444
339	0.7806892997	0.569961247
340	0.780772872	0.569707356
341	0.7806995801	0.5695205327
342	0.7808580356	0.5692519812
343	0.7807509601	0.5690232397
344	0.780849137	0.5688697124
345	0.7809069387	0.5687714435
346	0.7810854368	0.5685114559
347	0.781390029	0.5683222592
348	0.7814569396	0.5680620276
349	0.7811546014	0.5675029852
350	0.7814649754	0.5671180975
351	0.7815259877	0.5667917014
352	0.781585739	0.5666685601
353	0.7818654503	0.5661899735
354	0.7820100349	0.5660596757
355	0.7821248291	0.5658909262
356	0.7822948756	0.5657160637
357	0.7823465375	0.5656128511
358	0.7824546326	0.5654889823
359	0.7827031312	0.5651141864
360	0.7827886531	0.5648524931
361	0.7828144237	0.5646505568
362	0.7829071493	0.5642973296
363	0.7827851514	0.564042488
364	0.7827769413	0.5639663763
365	0.7831370946	0.5636649289
366	0.7829696189	0.5634889005
367	0.7834696839	0.5628687594
368	0.7834695632	0.562678882
369	0.783597835	0.5624036165
370	0.7835254153	0.5621404089
371	0.7834964607	0.5620053359
372	0.7834807291	0.5615980153
373	0.7835197359	0.5611805296
374	0.7838786819	0.5609224313
375	0.7839201842	0.5607032418
376	0.7841420805	0.5602432385
377	0.7842469917	0.5599027213
378	0.7847337172	0.5595604811
379	0.7850138404	0.5592156158
380	0.7848473843	0.5590008624
381	0.7854160636	0.5587454375
382	0.7853445337	0.5582991415
383	0.7856367661	0.5581469008
384	0.7855655001	0.5579283287
385	0.7864256153	0.5571249064
386	0.7868414999	0.557002317
387	0.7869466392	0.5565717043
388	0.7871766249	0.556190789
389	0.7874696127	0.5560987504
390	0.7873973809	0.5559622144
391	0.7873415155	0.5558756531
392	0.7873712926	0.5553667705
393	0.787465463	0.5550602841
394	0.788089887	0.5544700011
395	0.788263198	0.5540705091
396	0.78832307	0.5538009829
397	0.7885407628	0.5536366447
398	0.7887821559	0.5531579619
399	0.7889544606	0.5527771918
400	0.7894399518	0.5524360781
